ACT Symbol,Company Name
GRAM,"Grana y Montero S.A.A. American Depositary Shares, each representing five Common Shares"
GRO,Agria Corporation American Depositary Shares
GRP.U,"Granite Real Estate Inc. Stapled Units, each consisting of one unit of Granite Real Estate Trust and one common share of Granite REIT Inc."
GRR,"Asia Tigers Fund, Inc. (The) Common Stock"
GRT,Glimcher Realty Trust Common Stock
GRUB,GrubHub Inc. Common Stock
GRX,The Gabelli Healthcare & Wellness Trust Common Shares of Beneficial Interest
GS,"Goldman Sachs Group, Inc. (The) Common Stock"
GSF,"Goldman Sachs Group, Inc. (The) 6.125% Notes due 2060"
GSH,Guangshen Railway Company Limited Common Stock
GSI,"General Steel Holdings, Inc. Common Stock"
GSJ,"Goldman Sachs Group, Inc. (The) 6.50% Notes due 2061"
GSK,GlaxoSmithKline PLC Common Stock
GSL,Global Ship Lease Inc New Class A Common Shares
GTI,GrafTech International Ltd (Holding Co.) Common Stock
GTN,"Gray Communications Systems, Inc. Common Stock"
GTN.A,"Gray Television, Inc. CLass A Common Stock"
GTS,Triple
GTT,"GTT Communications, Inc. Common Stock"
GTY,Getty Realty Corporation Common Stock
GUA,"Gulf Power Company Series 2011A 5.75% Senior Notes due June 1, 2051"
GUT,Gabelli Utility Trust (The) Common Stock
GVA,Granite Construction Incorporated Common Stock
GWB,"Great Western Bancorp, Inc. Common Stock"
GWR,Genesee & Wyoming Inc. Class A Common Stock
GWRE,"Guidewire Software, Inc. Common Stock"
GWRU,"Genesee & Wyoming, Inc. Tangible Equity Unit"
GWW,"W.W. Grainger, Inc. Common Stock"
GXP,Great Plains Energy Incorporated Common Stock
GY,GenCorp Inc. Common Stock
GYB,CABCO Series 2004
GYC,Corporate Asset Backed Corp CABCO Corporate Asset Backed Corporation CABCO Series 2004
GZT,Gazit
H,Hyatt Hotels Corporation Class A Common Stock
HAE,Haemonetics Corporation Common Stock
HAL,Halliburton Company Common Stock
HAR,"Harman International Industries, Incorporated Common Stock"
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc. Common Stock"
HBI,Hanesbrands Inc. Common Stock
HBM,Hudbay Minerals Inc Ordinary Shares (Canada)
HBM.W,HudBay Minerals Inc Warrants Expiring 07/20/2018 (Canada)
HCA,"HCA Holdings, Inc. Common Stock"
HCC,"HCC Insurance Holdings, Inc. Common Stock"
HCI,"HCI Group, Inc. Common Stock"
HCJ,"HCI Group, Inc. 8% Senior Notes due 2020"
HCLP,Hi
HCN,"Health Care REIT, Inc. Common Stock"
HCP,"HCP, Inc. Common Stock"
HD,"Home Depot, Inc. (The) Common Stock"
HDB,HDFC Bank Limited Common Stock
HDY,HyperDynamics Corporation Common Stock
HE,"Hawaiian Electric Industries, Inc. Common Stock"
HEI,Heico Corporation Common Stock
HEI.A,Heico Corporation Common Stock
HELI,CHC Group Ltd. Ordinary Shares
HEP,"Holly Energy Partners, L.P. Common Stock"
HEQ,John Hancock Hedged Equity & Income Fund Common Shares of Beneficial Interest
HES,Hess Corporation Common Stock
HF,"HFF, Inc. Common Stock, Class A"
HFC,HollyFrontier Corporation Common Stock
HGG,"HHGregg, Inc. Common Stock"
HGH,"Hartford Financial Services Group, Inc. (The) 7.875% Fixed to Floating Rate Junior Subordinated Debentures due 2042"
HGR,"Hanger, Inc. Common Stock ($0.01 Par Value)"
HGT,Hugoton Royalty Trust Common Stock
HHC,Howard Hughes Corporation (The) Common Stock
HHS,Harte
HHY,Brookfield High Income Fund Inc.
HI,Hillenbrand Inc Common Stock
HIE,Miller/Howard High Income Equity Fund Common Shares of Beneficial Interest
HIG,"Hartford Financial Services Group, Inc. (The) Common Stock"
HIG.W,"Hartford Financial Services Group, Inc. (The) Warrants expiring June 26, 2019"
HII,"Huntington Ingalls Industries, Inc. Common Stock"
HIL,"Hill International, Inc. Common Stock"
HIO,"Western Asset High Income Opportunity Fund, Inc. Common Stock"
HIVE,"Aerohive Networks, Inc. Common Stock"
HIW,"Highwoods Properties, Inc. Common Stock"
HIX,Western Asset High Income Fund II Inc. Common Stock
HJV,"MS Structured Asset Corp MS Structured Asset Corp. SATURNS J.C. Penney Company, Inc. Debenture Backed Series 2007"
HK,Halcon Resources Corporation Common Stock
HL,Hecla Mining Company Common Stock
HLF,Herbalife Ltd. Common Stock
HLS,HealthSouth Corporation Common Stock
HLT,Hilton Worldwide Holdings Inc. Common Stock
HLX,"Helix Energy Solutions Group, Inc. Common Stock"
HMC,"Honda Motor Company, Ltd. Common Stock"
HME,"Home Properties, Inc. Common Stock"
HMLP,Hoegh LNG Partners LP Common Units representing Limited Partner Interests
HMN,Horace Mann Educators Corporation Common Stock
HMY,Harmony Gold Mining Company Limited
HNI,HNI Corporation Common Stock
HNP,Huaneng Power Intl Common Stock
HNR,Harvest Natural Resources Inc
HNT,Health Net Inc. Common Stock
HOG,Harley
HON,Honeywell International Inc. Common Stock
HOS,Hornbeck Offshore Services Common Stock
HOT,"Starwood Hotels & Resorts Worldwide, Inc. Common Stock"
HOV,"Hovnanian Enterprises, Inc. Class A Common Stock"
HP,"Helmerich & Payne, Inc. Common Stock"
HPF,John Hancock Pfd Income Fund II Pfd Income Fund II
HPI,John Hancock Preferred Income Fund Common Shares of Beneficial Interest
HPP,"Hudson Pacific Properties, Inc. Common Stock"
HPQ,Hewlett
HPS,John Hancock Preferred Income Fund III Preferred Income Fund III
HPT,Hospitality Properites Trust Common Stock
HPY,"Heartland Payment Systems, Inc. Common Stock"
HQH,Tekla Healthcare Investors Common Stock
HQL,TeklaLife Sciences Investors Common Stock
HR,Healthcare Realty Trust Incorporated Common Stock
HRB,"H&R Block, Inc. Common Stock"
HRC,Hill
HRG,Harbinger Group Inc Common Stock
HRL,Hormel Foods Corporation Common Stock
HRS,Harris Corporation Common Stock
HRTG,"Heritage Insurance Holdings, Inc. Common Stock"
HSBC,"HSBC Holdings, plc. Common Stock"
HSC,Harsco Corporation Common Stock
HSEA,"HSBC Holdings, plc. Perpetual Sub Cap Secs"
HSEB,HSBC Holdings plc PERP SUB CAP SECS EXCH PREF SHS SER 2 (United Kingdom)
HSP,Hospira Inc
HST,"Host Hotels & Resorts, Inc. Common Stock"
HSY,The Hershey Company Common Stock
HT,Hersha Hospitality Trust Class A Common Shares of Beneficial Interest
HTA,"Healthcare Trust of America, Inc. Class A Common Stock"
HTD,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest
HTF,Horizon Technology Finance Corporation 7.375% Senior Notes due 2019
HTGC,"Hercules Technology Growth Capital, Inc. Common Stock"
HTGX,"Hercules Technology Growth Capital, Inc. 6.25% Notes due 2024"
HTGY,"Hercules Technology Growth Capital, Inc. 7.00% Senior Notes due 2019"
HTGZ,"Hercules Technology Growth Capital, Inc. 7.00% Note due 2019"
HTH,Hilltop Holdings Inc.
HTR,Brookfield Total Return Fund Inc. (The) Common Stock
HTS,Hatteras Financial Corp Hatteras Financial Corp  Common Stock
HTY,John Hancock Tax
HTZ,"Hertz Global Holdings, Inc Common Stock"
HUB.A,Hubbell Inc A Common Stock
HUB.B,Hubbell Inc Common Stock Class B
HUBS,"HubSpot, Inc. Common Stock"
HUM,Humana Inc. Common Stock
HUN,Huntsman Corporation Common Stock
HVB,Hudson Valley Holding Corp. Common Stock
HVT,"Haverty Furniture Companies, Inc. Common Stock"
HVT.A,"Haverty Furniture Companies, Inc. Common Stock"
HW,Headwaters Incorporated Common Stock
HXL,Hexcel Corporation Common Stock
HY,Hyster
HYB,"New America High Income Fund, Inc. (The) Common Stock"
HYF,"Managed High Yield Plus Fund, Inc. Common Stock"
HYH,"Halyard Health, Inc. Common Stock"
HYI,Western Asset High Yield Defined Opportunity Fund Inc. Common Stock
HYT,"Blackrock Corporate High Yield Fund, Inc. Common Stock"
HZO,"MarineMax, Inc. Common Stock"
I,Intelsat S.A. Common Shares
IAE,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest
IAG,Iamgold Corporation Ordinary Shares
IBA,"Industrias Bachoco, S.A.B. de C.V. Common Stock"
IBM,International Business Machines Corporation Common Stock
IBN,ICICI Bank Limited Common Stock
IBP,"Installed Building Products, Inc. Common Stock"
ICA,Empresas Ica Soc Contrladora Common Stock
ICB,"MS Income Securities, Inc. Common Stock"
ICD,"Independence Contract Drilling, Inc. Common Stock"
ICE,Intercontinental Exchange Inc. Common Stock
ICL,Israel Chemicals Limited Ordinary Shares
IDA,"IDACORP, Inc. Common Stock"
IDE,"Voya Infrastructure, Industrials and Materials Fund Common Shares of Beneficial Interest"
IDG,ING GROEP N V PREF CTF 7.3750% Perp Hybrid Cap Secs (Netherlands)
IDT,IDT Corporation Class B Common Stock
IEH,Integrys Energy Group 6.00% Junior Subordinated Notes Due 2073
IEX,IDEX Corporation Common Stock
IFF,"Internationa Flavors & Fragrances, Inc. Common Stock"
IFN,"India Fund, Inc. (The) Common Stock"
IFT,"Imperial Holdings, Inc. Common Stock"
IGA,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest
IGD,Voya Global Equity Dividend and Premium Opportunity Fund
IGI,Western Asset Investment Grade Defined Opportunity Trust Inc. Common Stock
IGR,CBRE Clarion Global Real Estate Income Fund Common Stock
IGT,International Game Technology Common Stock
IHC,Independence Holding Company Common Stock
IHD,Voya Emerging Markets High Income Dividend Equity Fund Common Shares
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share)
IHS,IHS Inc. IHS Inc. Class A Common Stock
IID,Voya International High Dividend Equity Income Fund Common Shares of Beneficial Interest
IIF,"Morgan Stanley India Investment Fund, Inc. Common Stock"
IIM,Invesco Value Municipal Income Trust Common Stock
IL,"IntraLinks Holdings, Inc. Common Stock $0.001 par value"
IM,Ingram Micro Inc. Common Stock
IMAX,Imax Corporation Common Stock
IMN,Imation Corporation Common Stock
IMPR,"Imprivata, Inc. Common Stock"
IMPV,"Imperva, Inc. Common Stock"
IMS,"IMS Health Holdings, Inc. Common Stock"
INB,"Cohen & Steers Global Income Builder, Inc. Common Shares of Beneficial Interest"
IND,"ING Group, N.V. Perpetual Debt Securities"
INF,Brookfield Global Listed Infrastructure Income Fund Closed End Fund
INFY,Infosys Limited American Depositary Shares
ING,"ING Group, N.V. Common Stock"
INGR,Ingredion Incorporated Common Stock
INN,"Summit Hotel Properties, Inc. Common Stock"
INT,World Fuel Services Corporation Common Stock
INVN,"InvenSense, Inc. Common Stock"
INXN,InterXion Holding N.V. Ordinary Shares (0.01 nominal value)
INZ,Ing Groep NV Perpetual Debt Securities
IO,Ion Geophysical Corporation Common Stock
IOC,InterOil Corporation
IP,International Paper Company Common Stock
IPG,"Interpublic Group of Companies, Inc. (The) Common Stock"
IPHI,Inphi Corporation Common Stock $0.001 par value
IPI,"Intrepid Potash, Inc Common Stock"
IQI,Invesco Quality Municipal Income Trust Common Stock
IR,Ingersoll
IRC,Inland Real Estate Corporation Common Stock
IRE,Governor and Company of the Bank of Ireland (The) Common Stock
IRET,Investors Real Estate Trust Shares of Beneficial Interest
IRF,International Rectifier Corporation Common Stock
IRL,"New Ireland Fund, Inc (The) Common Stock"
IRM,Iron Mountain Incorporated (Delaware)Common Stock
IRR,Voya Natural Resources Equity Income Fund Common Shares of Beneficial Interest
IRS,IRSA Inversiones Y Representaciones S.A. Common Stock
ISD,"Prudential Short Duration High Yield Fund, Inc. Common Stock"
ISF,"ING Group, N.V. Perp Hybrid Cap Secs (Netherlands)"
ISG,"ING Group, N.V. Perpetual Dent Secs 6.125%"
ISH,International Shipholding Corporation Common Stock
ISP,ING Groep NV 6.20% Perpetual Debt Securities (Netherlands)
IT,"Gartner, Inc. Common Stock"
ITC,ITC Holdings Corp. Common Stock
ITG,"Investment Technology Group, Inc. Common Stock"
ITT,ITT Corporation Common Stock New
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
ITW,Illinois Tool Works Inc. Common Stock
IVC,Invacare Corporation Common Stock
IVH,Ivy High Income Opportunities Fund Common Shares of Beneficial Interest
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock
IVZ,Invesco Plc New Common Stock
IX,Orix Corp Ads Common Stock
JAH,Jarden Corporation Common Stock
JBK,Lehman ABS 3.50 3.50% Adjustable Corp Backed Tr Certs GS Cap I
JBL,"Jabil Circuit, Inc. Common Stock"
JBN,"Select Asset Inc. Select Asset Inc. on behalf of Corporate Backed Callable Trust Certificates, J.C. Penney Debenture Backed Series 2007"
JBR,"Select Asset Inc. Corporate Backed Callable Trust Certificates, J.C. Penney Debenture"
JBT,John Bean Technologies Corporation Common Stock
JCE,Nuveen Core Equity Alpha Fund Nuveen Core Equity Alpha Fund Common Shares of Beneficial Interest
JCI,"Johnson Controls, Inc. Common Stock"
JCP,"J.C. Penney Company, Inc. Holding Company Common Stock"
JDD,Nuveen Diversified Dividend and Income Fund Shares of Beneficial Interest
JE,"Just Energy Group, Inc. Ordinary Shares (Canada)"
JEC,Jacobs Engineering Group Inc. Common Stock
JEQ,"Aberdeen Japan Equity Fund, Inc.  Common Stock"
JFC,"JPMorgan China Region  Fund, Inc. Common Stock"
JFR,Nuveen Floating Rate Income Fund Common Stock
JGH,Nuveen Global High Income Fund Common Shares of Beneficial Interest
JGV,Nuveen Global Equity Income Fund
JGW,J.G. Wentworth Company (The) Class A Common Stock
JHI,John Hancock Investors Trust Common Stock
JHP,Nuveen Quality Preferred Income Fund 3 Preferred Income 3
JHS,John Hancock Income Securities Trust Common Stock
JHX,James Hardie Industries plc American Depositary Shares (Ireland)
JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares)
JLL,Jones Lang LaSalle Incorporated Common Stock
JLS,Nuveen Mortgage Opportunity Term Fund Nuveen Mortgage Opportunity Term Fund
JMEI,"Jumei International Holding Limited American Depositary Shares, each representing one Class A ordinary share"
JMF,Nuveen Energy MLP Total Return Fund Common Shares of Beneficial Interest
JMI,Javelin Mortgage Investment Corp. Common Stock
JMLP,Nuveen All Cap Energy MLP Opportunities Fund Common Shares of Beneficial Interest
JMM,Nuveen Multi
JMP,JMP Group LLC Common Shares
JMPB,JMP Group Inc 8.00% Senior Notes due 2023
JMPC,JMP Group Inc 7.25% Senior Notes due 2021
JMT,Nuveen Mortgage Opportunity Term Fund 2 Common Shares of Beneficial Interest
JNJ,Johnson & Johnson Common Stock
JNPR,"Juniper Networks, Inc. Common Stock"
JNS,"Janus Capital Group, Inc. Cmn Stk"
JOE,St. Joe Company (The) Common Stock
JOF,Japan Smaller Capitalization Fund Inc Common Stock
JONE,"Jones Energy, Inc. Class A Common Stock"
JOY,Joy Global Inc. Common Stock
JPC,Nuveen  Preferred Income Opportunities Fund
JPEP,JP Energy Partners LP Common units representing limited partner interests
JPI,Nuveen Preferred and Income Term Fund Common Shares of Beneficial Interest
JPM,JP Morgan Chase & Co. Common Stock
JPM.W,"J P Morgan Chase & Co Warrant expiring October 28, 2018"
JPS,Nuveen Quality Preferred Income Fund 2 Shares of Beneficial Interest
JPW,Nuveen Flexible Investment Income Fund Common Shares of Beneficial Interest
JQC,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest
JRI,Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest
JRN,"Journal Communications, Inc. Class A Common Stock"
JRO,Nuveen Floating Rate Income Opportuntiy Fund Shares of Beneficial Interest
JSD,Nuveen Short Duration Credit Opportunities Fund Common Shares of Beneficial Interest
JTA,Nuveen Tax
JTD,Nuveen Tax
JTP,Nuveen Quality Preferred Income Fund Shares of Beneficial Interest
JW.A,"John Wiley & Sons, Inc. Common Stock"
JW.B,"John Wiley & Sons, Inc. Common Stock"
JWN,"Nordstrom, Inc. Common Stock"
K,Kellogg Company Common Stock
KAI,Kadant Inc Common Stock
KAMN,Kaman Corporation Common Stock
KAP,"KCAP Financial, Inc. 7.375% Senior Notes due 2019"
KAR,"KAR Auction Services, Inc Common Stock"
KATE,Kate Spade & Company Common Stock
KB,KB Financial Group Inc
KBH,KB Home Common Stock
KBR,"KBR, Inc. Common Stock"
KCC,Structured Products Corp. 8.20% Corporate Backed Trust Securities (CorTS)Issued by Provident Financial Trust I
KCG,"KCG Holdings, Inc. Class A Common Stock"
KED,Kayne Anderson Energy Development Company Common Stock
KEF,"Korea Equity Fund, Inc. Common Stock"
KEG,"Key Energy Services, Inc. Common Stock"
KEM,Kemet Corporation New Common Stock
KEN.V,Kenon Holdings Ltd. Ordinary Shares When Issued
KEP,Korea Electric Power Corporation Common Stock
KEX,Kirby Corporation Common Stock
KEY,KeyCorp Common Stock
KEYS,Keysight Technologies Inc. Common Stock
KF,"Korea Fund, Inc. (The) New Common Stock"
KFH,KKR Financial Holdings LLC 8.375% Senior Notes due 2041
KFI,KKR Financial Holdings LLC 7.50% Senior Notes due 2042
KFS,"Kingsway Financial Services, Inc. Ordinary Shares"
KFY,Korn/Ferry International Common Stock
KGC,Kinross Gold Corporation Common Stock
KHI,Deutsche High Income Trust Shares of Beneficial Interest
KIM,Kimco Realty Corporation Common Stock
KING,King Digital Entertainment plc Ordinary Share
KIO,KKR Income Opportunities Fund Common Shares
KKD,"Krispy Kreme Doughnuts, Inc. Common Stock"
KKR,KKR & Co. L.P. Common Units Representing Limited Partnership Interest
KMB,Kimberly
KMF,"Kayne Anderson Midstream Energy Fund, Inc Common Stock"
KMG,"KMG Chemicals, Inc. Common Stock"
KMI,"Kinder Morgan, Inc. Common Stock"
KMI.W,"Kinder Morgan, Inc. Warrants Expiring 2017"
KMM,Deutsche  Multi
KMPA,Kemper Corporation 7.375% Subordinated Debentures due 2054
KMPR,Kemper Corporation
KMT,Kennametal Inc. Common Stock
KMX,CarMax Inc
KN,Knowles Corporation Common Stock
KND,"Kindred Healthcare, Inc. Common Stock"
KNL,"Knoll, Inc. Common Stock"
KNM,Konami Corporation American Depositary Shares (Each repstg one share of Common Stock)
KNOP,KNOT Offshore Partners LP Common Units representing Limited Partner Interests
KNX,"Knight Transportation, Inc. Common Stock"
KO,Coca
KODK,Eastman Kodak Company Common New
KODK.A,Eastman Kodak Company Wt Exp 135%
KODK.W,"Eastman Kodak Company Warrant (Expiring September 3, 2018)"
KOF,Coca Cola Femsa S.A.B. de C.V.  Common Stock
KOP,Koppers Holdings Inc. Koppers Holdings Inc. Common Stock
KORS,Michael Kors Holdings Limited Ordinary Shares
KOS,Kosmos Energy Ltd. Common Shares
KR,Kroger Company (The) Common Stock
KRA,"Kraton Performance Polymers, Inc Common Stock"
KRC,Kilroy Realty Corporation Common Stock
KRG,Kite Realty Group Trust Common Stock
KRO,Kronos Worldwide Inc Common Stock
KS,KapStone Paper and Packaging Corporation Common Stock
KSM,Deutsche Strategic Municiple Income Trust Common Shares of Beneficial Interest
KSS,Kohl's Corporation Common Stock
KST,Deutsche Strategic Income Trust Shares of Beneficial Interest
KSU,Kansas City Southern Common Stock
KT,KT Corporation Common Stock
KTF,Deutsche Municiple Income Trust Common Shares
KTH,Structures Products Cp 8% CorTS Issued by Peco Energy Cap Tr II Preferred Stock
KTN,Structured Products Corp 8.205% CorTS 8.205% Corporate Backed Trust Securities (CorTS)
KTP,Corts 7.625 Pfd Common Stock
KW,Kennedy
KWN,Kennedy
KWR,Quaker Chemical Corporation Common Stock
KYE,"Kayne Anderson Total Energy Return Fund, Inc. Common Stock"
KYN,Kayne Anderson MLP Investment Company Common Stock
KYO,Kyocera Corporation Common Stock
L,Loews Corporation Common Stock
LAD,"Lithia Motors, Inc. Common Stock"
LADR,Ladder Capital Corp Class A Common Stock
LAS,"Lentuo International Inc. American Depositary Shares, each representing two ordinary shares"
LAZ,"Lazard LTD. Lazard, LTD. Class A Common Stock"
LB,"L Brands, Inc."
LBF,"Deutsche Global High Income Fund, Inc. Common Stock"
LC,LendingClub Corporation Common Stock
LCI,Lannett Co Inc Common Stock
LCM,Advent/Claymore Enhanced Growth & Income Fund Advent/Claymore Enhanced Growth & Income Fund Common Shares of Beneficial Interest
LDF,"Latin American Discovery Fund, Inc. (The) Common Stock"
LDL,"Lydall, Inc. Common Stock"
LDOS,"Leidos Holdings, Inc. Common Stock"
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc."
LDR,"Landauer, Inc. Common Stock"
LEA,Lear Corporation Common Stock
LEAF,"Springleaf Holdings, Inc. Common Stock"
LEE,"Lee Enterprises, Incorporated Common Stock"
LEG,"Leggett & Platt, Incorporated Common Stock"
LEJU,"Leju Holdings Limited American Depositary Shares, each representing one Ordinary share"
LEN,Lennar Corporation Class A Common Stock
LEN.B,Lennar Corporation Class B
LEO,"Dreyfus Strategic Municipals, Inc. Common Stock"
LEU,Centrus Energy Corp. Class A Common Stock
LF,Leapfrog Enterprises Inc Common Stock
LFC,China Life Insurance Company Limited American Depositary Shares
LFL,LATAM Airlines Group S.A.
LG,Laclede Gas Company Common Stock
LGF,Lions Gate Entertainment Corporation Common Stock
LGI,Lazard Global Total Return and Income Fund Common Stock
LH,Laboratory Corporation of America Holdings Common Stock
LHO,LaSalle Hotel Properties Common Stock
LII,"Lennox International, Inc. Common Stock"
LITB,"LightInTheBox Holding Co., Ltd. American Depositary Shares, each representing 2 ordinary shares"
LL,"Lumber Liquidators Holdings, Inc Common Stock"
LLL,L
LLY,Eli Lilly and Company Common Stock
LM,"Legg Mason, Inc. Common Stock"
LMT,Lockheed Martin Corporation Common Stock
LNC,Lincoln National Corporation Common Stock
