ACT Symbol,Company Name
QSR,Restaurant Brands International Inc. Common Shares
QTM,Quantum Corporation Common Stock
QTS,"QTS Realty Trust, Inc. Class A Common Stock"
QTWO,"Q2 Holdings, Inc. Common Stock"
QUAD,"Quad Graphics, Inc Class A Common Stock"
R,"Ryder System, Inc. Common Stock"
RAD,Rite Aid Corporation Common Stock
RAI,Reynolds American Inc Common Stock
RALY,Rally Software Development Corp. Common Stock
RAS,RAIT Financial Trust New Common Shares of Beneficial Interest
RATE,"Bankrate, Inc. Common Stock"
RAX,"Rackspace Hosting, Inc Common Stock"
RBA,Ritchie Bros. Auctioneers Incorporated Common Stock
RBC,Regal Beloit Corporation Common Stock
RBS,Royal Bank of Scotland Group Plc New (The) ADS
RCAP,RCS CAPITAL CORPORATION Common Stock
RCI,"Rogers Communication, Inc. Common Stock"
RCL,Royal Caribbean Cruises Ltd. Common Stock
RCS,"PIMCO Strategic Income Fund, Inc."
RDC,Rowan Companies plc Class A Ordinary Shares
RDN,Radian Group Inc. Common Stock
RDS.A,Royal Dutch Shell PLC Royal Dutch Shell American Depositary Shares (Each representing two Class A Ordinary Shares)
RDS.B,Royal Dutch Shell PLC Royal Dutch Shell PLC American Depositary Shares (Each representing two Class B Ordinary Shares)
RDY,Dr. Reddy's Laboratories Ltd Common Stock
RE,"Everest Re Group, Ltd. Common Stock"
REG,Regency Centers Corporation Common Stock
REN,Resolute Energy Corporation Comon Stock
RENN,"Renren Inc. American Depositary Shares, each representing three Class A ordinary shares"
RES,"RPC, Inc. Common Stock"
RESI,Altisource Residential Corporation Common Stock
REV,"Revlon, Inc. New Common Stock"
REX,REX American Resources Corporation
REXR,"Rexford Industrial Realty, Inc. Common Stock"
RF,Regions Financial Corporation Common Stock
RFI,"Cohen & Steers Total Return Realty Fund, Inc. Common Stock"
RFP,Resolute Forest Products Inc. Common Stock
RFT,RAIT Financial Trust 7.625% Senior Notes due 2024
RFTA,RAIT Financial Trust 7.125% Senior Notes due 2019
RGA,"Reinsurance Group of America, Incorporated Common Stock"
RGC,Regal Entertainment Group Class A Common Stock
RGP,Regency Energy Partners LP Common Units Representing Limited Partner Interests
RGR,"Sturm, Ruger & Company, Inc. Common Stock"
RGS,Regis Corporation Common Stock
RGT,"Royce Global Value Trust, Inc. Common Stock"
RH,Restoration Hardware Holdings Inc. Common Stock
RHI,Robert Half International Inc. Common Stock
RHP,"Ryman Hospitality Properties, Inc. (REIT)"
RHT,"Red Hat, Inc. Common Stock"
RICE,Rice Energy Inc. Common Stock
RIG,Transocean Ltd (Switzerland) Common Stock
RIGP,Transocean Partners LLC Common Units Representing Limited Liability Company Interests
RIO,Rio Tinto Plc Common Stock
RIOM,Rio Alto Mining Limited Common Shares (Canada)
RIT,LMP Real Estate Income Fund Inc Common Stock
RJD,"Raymond James Financial, Inc. 6.90% Senior Notes Due 2042"
RJF,"Raymond James Financial, Inc. Common Stock"
RKT,Rock
RKUS,"Ruckus Wireless, Inc. Common Stock"
RL,Ralph Lauren Corporation Common Stock
RLD,RealD Inc Common Stock
RLGY,Realogy Holdings Corp. Common Stock
RLH,Red Lions Hotels Corporation Common Stock
RLI,RLI Corp. Common Stock
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value
RM,Regional Management Corp. Common Stock
RMAX,"RE/MAX Holdings, Inc. Class A Common Stock"
RMD,ResMed Inc. Common Stock
RMP,Rice Midstream Partners LP Common Units representing limited partner interests
RMT,Royce Micro
RNDY,"Roundy's, Inc. Common Stock"
RNE,"Morgan Stanley Eastern Europe Fund, Inc. Common Stock"
RNF,"Rentech Nitrogen Partners, L.P. Common Units representing limited partner interests"
RNG,"Ringcentral, Inc. Class A Common Stock"
RNO,Rhino Resource Partners LP Common Units representing limited partnership interests
RNP,Cohen & Steers Reit and Preferred Income Fund Inc Common Shares
RNR,RenaissanceRe Holdings Ltd. Common Stock
ROC,"Rockwood Holdings, Inc. Common Stock"
ROG,Rogers Corporation Common Stock
ROK,"Rockwell Automation, Inc. Common Stock"
ROL,"Rollins, Inc. Common Stock"
ROP,"Roper Industries, Inc. Common Stock"
ROYT,Pacific Coast Oil Trust Units of Beneficial Interest
RPAI,"Retail Properties of America, Inc. Class A Common Stock"
RPM,RPM International Inc. Common Stock
RPT,Ramco
RQI,Cohen & Steers Quality Income Realty Fund Inc Common Shares
RRC,Range Resources Corporation Common Stock
RRMS,"Rose Rock Midstream, L.P. Common Units Representing Limited Partner Interests"
RRTS,"Roadrunner Transportation Systems, Inc Common Stock"
RS,Reliance Steel & Aluminum Co. Common Stock
RSE,"Rouse Properties, Inc. Common Stock"
RSG,"Republic Services, Inc. Common Stock"
RSH,Radioshack Corporation Common Stock
RSO,Resource Capital Corp. Resource Capital Corp. Common Stock
RSPP,"RSP Permian, Inc. Common Stock"
RST,"Rosetta Stone Rosetta Stone, Inc."
RT,"Ruby Tuesday, Inc. Common Stock"
RTEC,"Rudolph Technologies, Inc. Common Stock"
RTI,"RTI International Metals, Inc. Common Stock"
RTN,Raytheon Company Common Stock
RUBI,"The Rubicon Project, Inc. Common Stock"
RUK,Reed Elsevier NV PLC New ADS
RVT,"Royce Value Trust, Inc. Common Stock"
RWT,"Redwood Trust, Inc. Common Stock"
RXN,Rexnord Corporation Common Stock
RY,Royal Bank Of Canada Common Stock
RYAM,Rayonier Advanced Materials Inc. Common Stock
RYI,Ryerson Holding Corporation Common Stock
RYL,"Ryland Group, Inc. (The) Common Stock"
RYN,Rayonier Inc. REIT Common Stock
RZA,"Reinsurance Group of America, Incorporated 6.20% Fixed"
S,Sprint Corporation Common Stock
SA,"Seabridge Gold, Inc. Ordinary Shares (Canada)"
SAH,"Sonic Automotive, Inc. Common Stock"
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock
SALT,Scorpio Bulkers Inc. Common Stock
SAM,"Boston Beer Company, Inc. (The) Common Stock"
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)"
SAP,SAP  SE ADS
SAQ,Saratoga Investment Corp 7.50% Notes due 2020
SAR,Saratoga Investment Corp New
SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)"
SBGL,Sibanye Gold Limited American Depositary Shares (Each representing four ordinary shares)
SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.) Common Stock"
SBNA,Scorpio Tankers Inc. 6.75% Senior Notes due 2020
SBNB,Scorpio Tankers Inc. 7.50% Senior Notes Due 2017
SBR,Sabine Royalty Trust Common Stock
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo
SBW,Western Asset Worldwide Income Fund Inc. Common Stock
SBY,Silver Bay Realty Trust Corp. Common Stock
SC,Santander Consumer USA Holdings Inc. Common Stock
SCCO,Southern Copper Corporation Common Stock
SCD,LMP Capital and Income Fund Inc. Common Stock
SCG,SCANA Corporation Common Stock
SCHW,Charles Schwab Corporation (The) Common Stock
SCI,Service Corporation International Common Stock
SCL,Stepan Company Common Stock
SCM,Stellus Capital Investment Corporation Common Stock
SCQ,Stellus Capital Investment Corporation 6.50% Notes due 2019
SCS,Steelcase Inc. Common Stock
SCU,Scana Corporation SCANA CORPORATION 2009 Series A 7.70% Enhanced Junior Subordinated Notes
SCX,L.S. Starrett Company (The) Common Stock
SD,Sandridge Energy Inc. Common Stock
SDLP,Seadrill Partners LLC Common Units Representing Limited Liability Company Interests
SDR,SandRidge Mississippian Trust II Common Units representing Beneficial Interests
SDRL,Seadrill Limited Ordinary Shares (Bermuda)
SDT,SandRidge Mississippian Trust I Common Units of Beneficial Interest
SE,Spectra Energy Corp Common Stock
SEAS,"SeaWorld Entertainment, Inc. Common Stock"
SEE,Sealed Air Corporation Common Stock
SEM,Select Medical Holdings Corporation Common Stock
SEMG,Semgroup Corporation Class A Common Stock
SEP,"Spectra Energy Partners, LP Common Units representing Limited Partner Interests"
SERV,"ServiceMaster Global Holdings, Inc. Common Stock"
SF,Stifel Financial Corporation Common Stock
SFB,Stifel Financial Corp. 6.70% Senior Note due 2022
SFE,"Safeguard Scientifics, Inc. New Common Stock"
SFG,"StanCorp Financial Group, Inc. Common Stock"
SFL,Ship Finance International Limited
SFN,Stifel Financial Corporation 5.375% Senior Notes due December 2022
SFS,"Smart & Final Stores, Inc. Common Stock"
SFUN,"SouFun Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares, HK$1.00 par value)"
SFY,Swift Energy Company (Holding Company) Common Stock
SGF,"Aberdeen Singapore Fund, Inc. Common Stock"
SGL,"Strategic Global Income Fund, Inc. Common Stock"
SGM,Stonegate Mortgage Corporation Common Stock
SGU,"Star Gas Partners, L.P. Common Stock"
SGY,Stone Energy Corporation Common Stock
SGZA,"Selective Insurance Group, Inc. 5.875% Senior Notes due 2043"
SHG,Shinhan Financial Group Co Ltd American Depositary Shares
SHI,"SINOPEC Shangai Petrochemical Company, Ltd. Common Stock"
SHLX,"Shell Midstream Partners, L.P. Common Units representing Limited Partner Interests"
SHO,"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares"
SHW,Sherwin
SID,Companhia Siderurgica Nacional S.A. Common Stock
SIG,Signet Jewelers Limited Common Shares
SIR,Select Income REIT Common Shares of Beneficial Interest
SIX,Six Flags Entertainment Corporation New Common Stock
SJI,"South Jersey Industries, Inc. Common Stock"
SJM,J.M. Smucker Company (The) New Common Stock
SJR,Shaw Communications Inc. Common Stock
SJT,San Juan Basin Royalty Trust Common Stock
SJW,SJW Corporation Common Stock
SKH,"Skilled Healthcare Group, Inc. Common Stock"
SKM,"SK Telecom Co., Ltd. Common Stock"
SKT,"Tanger Factory Outlet Centers, Inc. Common Stock"
SKX,"Skechers U.S.A., Inc. Common Stock"
SLB,Schlumberger N.V. Common Stock
SLCA,"U.S. Silica Holdings, Inc. Common Stock"
SLF,Sun Life Financial Inc. Common Stock
SLG,SL Green Realty Corporation Common Stock
SLH,"Solera Holdings, Inc. Solera Holdings, Inc. Common Stock"
SLRA,Solar Capital Ltd. 6.75% Senior Notes due 2042
SLTB,Scorpio Bulkers Inc. 7.50% Senior Notes due 2019
SLW,Silver Wheaton Corp Common Shares (Canada)
SM,SM Energy Company Common Stock
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)
SMG,Scotts Miracle
SMI,Semiconductor  Manufacturing International Corporation ADR
SMLP,"Summit Midstream Partners, LP Common Units Representing Limited Partner Interests"
SMM,Salient Midstream Common Shares of Beneficial Interest
SMP,"Standard Motor Products, Inc. Common Stock"
SN,Sanchez Energy Corporation Common Stock
SNA,Snap
SNE,Sony Corporation Common Stock
SNH,Senior Housing Properties Trust Common Stock
SNHN,Senior Housing Properties Trust 5.625% Senior Notes due 2042
SNI,"Scripps Networks Interactive, Inc Common Class A"
SNN,"Smith & Nephew SNATS, Inc. Common Stock"
SNOW,"Intrawest Resorts Holdings, Inc. Common Stock"
SNP,China Petroleum & Chemical Corporation Common Stock
SNR,New Senior Investment Group Inc. Common Stock
SNV,Synovus Financial Corp. Common Stock
SNX,Synnex Corporation Common Stock
SNY,Sanofi American Depositary Shares (Each repstg one
SO,Southern Company (The) Common Stock
SOL,Renesola Ltd. Common Shares of Beneficial Interest
SON,Sonoco Products Company Common Stock
SOR,"Source Capital, Inc. Common Stock"
SPA,Sparton Corporation Common Stock
SPB,"Spectrum Brands Holdings, Inc. Common Stock"
SPE,"Special Opportunities Fund, Inc Common Stock"
SPF,Standard Pacific Corp Common Stock
SPG,"Simon Property Group, Inc. Common Stock"
SPH,"Suburban Propane Partners, L.P. Common Stock"
SPLP,Steel Partners Holdings LP LTD PARTNERSHIP UNIT
SPN,"Superior Energy Services, Inc. Common Stock"
SPR,"Spirit Aerosystems Holdings, Inc. Common Stock"
SPW,SPX Corporation Common Stock
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund
SQM,Sociedad Quimica y Minera S.A. Common Stock
SQNS,"Sequans Communications S.A. American Depositary Shares, each representing one Ordinary Share"
SR,Standard Register Company (The) Common Stock
SRC,"Spirit Realty Capital, Inc. Common Stock"
SRE,Sempra Energy Common Stock
SRF,The Cushing Royalty & Income Fund Common Shares of Beneficial Interest
SRI,"Stoneridge, Inc. Common Stock"
SRLP,Sprague Resources LP Common Units representing Limited Partner Interests
SRT,"StarTek, Inc. Common Stock"
SRV,The Cushing MLP Total Return Fund Common Shares of Beneficial Interest
SSD,"Simpson Manufacturing Company, Inc. Common Stock"
SSE,Seventy Seven Energy Inc. Common Stock
SSI,"Stage Stores, Inc. Common Stock"
SSL,Sasol Ltd. American Depositary Shares
SSLT,Sesa Sterlite Limited  American Depositary Shares (Each representing four equity shares)
SSNI,"Silver Spring Networks, Inc. Common Stock"
SSP,E.W. Scripps Company (The) Common Stock
SSS,"Sovran Self Storage, Inc. Common Stock"
SSTK,"Shutterstock, Inc. Common Stock"
SSW,Seaspan Corporation Seaspan Corporation Common Shares
SSWN,Seaspan Corporation 6.375% Notes due 2019
ST,Sensata Technologies Holding N.V. Ordinary Shares
STAG,"Stag Industrial, Inc. Common Stock"
STAR,iStar Financial Inc. Common Stock
STAY,"Extended Stay America, Inc. Common Stock"
STC,Stewart Information Services Corporation Common Stock
STE,STERIS Corporation Common Stock
STI,"SunTrust Banks, Inc. Common Stock"
STI.A,"SunTrust Banks, Inc. Class A Warrant (Expiring December 31, 2018)"
STI.B,"SunTrust Banks, Inc. Class B Warrant (Expiring November 14, 2018)"
STJ,"St. Jude Medical, Inc. Common Stock"
STK,Columbia Seligman Premium Technology Growth Fund Inc
STL,Sterling Bancorp
STM,STMicroelectronics N.V. Common Stock
STN,Stantec Inc Common Stock
STNG,Scorpio Tankers Inc. Common Shares
STO,Statoil ASA
STON,StoneMor Partners L.P. Common Unit Rep Limited Partnership Interests
STOR,STORE Capital Corporation Common Stock
STR,Questar Corporation Common Stock
STRI,"STR Holdings, Inc Common Stock"
STT,State Street Corporation Common Stock
STV,"China Digital TV Holding Co., Ltd. American Depositary Shares"
STWD,"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc."
STZ,"Constellation Brands, Inc. Common Stock"
STZ.B,"Constellation Brands, Inc. Common Stock"
SU,Suncor Energy  Inc. Common Stock
SUI,"Sun Communities, Inc. Common Stock"
SUN,Sunoco LP Common Units representing limited partner interests
SUNE,"SunEdison, Inc. Common Stock"
SUP,"Superior Industries International, Inc. Common Stock"
SVM,Silvercorp Metals Inc Ordinary Shares (Canada)
SVU,SuperValu Inc. Common Stock
SWAY,Starwood Waypoint Residential Trust Common Stock
SWC,Stillwater Mining Company Common Stock ($0.01 Par Value)
SWFT,Swift Transportation Company Class A Common Stock
SWH,"Stanley Black & Decker, Inc. Corp Unit 2013"
SWI,"Solarwinds, Inc. Common Stock"
SWJ,"Stanley Black & Decker, Inc. 5.75% Junior Subordinated Debenture due 2052"
SWK,"Stanley Black & Decker, Inc. Common Stock"
SWM,Schweitzer
SWN,Southwestern Energy Company Common Stock
SWU,"Stanley Black & Decker, Inc Corporate Units"
SWX,Southwest Gas Corporation Common Stock
SWY,Safeway Inc. Common Stock
SWZ,"Swiss Helvetia Fund, Inc. (The) Common Stock"
SXC,"SunCoke Energy, Inc. Common Stock"
SXCP,"SunCoke Energy Partners, L.P. Common Units Representing Limited partner Interests"
SXE,"Southcross Energy Partners, L.P. Common Units representing limited partner interest in the Partnership"
SXI,Standex International Corporation Common Stock
SXL,Sunoco Logistics Partners LP Common Units representing limited partner interests
SXT,Sensient Technologies Corporation Common Stock
SYA,Symetra Financial Corporation Common Stock $0.01 par value
SYF,Synchrony Financial Common Stock
SYK,Stryker Corporation Common Stock
SYT,Syngenta AG Common Stock
SYX,Systemax Inc. Common Stock
SYY,Sysco Corporation Common Stock
SZC,Cushing Renaissance Fund (The) Common Shares of Beneficial Interest
T,AT&T Inc.
TA,TravelCenters of America LLC Common Stock
TAC,TransAlta Corporation Ordinary Shares
TAHO,"Tahoe Resources, Inc. Ordinary Shares (Canada)"
TAI,"Transamerica Income Shares, Inc. Common Stock"
TAL,"TAL International Group, Inc. Common Stock"
TANN,TravelCenters of America LLC 8.25% Senior Notes due 2028
TANO,TravelCenters of America LLC 8.00% Senior Notes due 2029
TAOM,Taomee Holdings Limited American Depositary Shares (each representing 20 ordinary shares)
TAP,Molson Coors Brewing Company Class B Common Stock
TAP.A,Molson Coors Brewing  Company Molson Coors Brewing Company Class A Common Stock
TARO,Taro Pharmaceutical Industries Ltd. Ordinary Shares
TBI,"TrueBlue, Inc. Common Stock"
TC,Thompson Creek Metals Company Inc. Ordinary Shares (Canada)
TCAP,Triangle Capital Corporation Common Stock
TCB,TCF Financial Corporation Common Stock
TCB.W,TCF Financial Corporation TCF Financial Corporation Warrants
TCC,Triangle Capital Corporation 7.00% Senior Notes due 2019
TCCA,Triangle Capital Corporation 6.375% Senior Notes due 2022
TCI,"Transcontinental Realty Investors, Inc. Common Stock"
TCK,Teck Resources Ltd Ordinary Shares
TCO,"Taubman Centers, Inc. Common Stock"
TCP,"TC PipeLines, LP Common Units representing Limited Partner Interests"
TCPI,TCP International Holdings Ltd. Common Shares
TCRX,"THL Credit, Inc. 6.75% Notes due 2021"
TCS,Container Store (The) Common Stock
TD,Toronto Dominion Bank (The) Common Stock
TDA,"Telephone and Data Systems, Inc. 5.875% Senior Notes due 2061"
TDC,Teradata Corporation Common Stock
TDE,"Telephone and Data Systems, Inc. 6.875% Senior Notes due 2059"
TDF,"Templeton Dragon Fund, Inc. Common Stock"
TDG,Transdigm Group Incorporated Transdigm Group Inc. Common Stock
TDI,"Telephone and Data Systems, Inc. Sr Nt"
TDJ,"Telephone and Data Systems, Inc. 7% Senior Notes due 2060"
TDS,"Telephone and Data Systems, Inc. Common Shares"
TDW,Tidewater Inc. Common Stock
TDY,Teledyne Technologies Incorporated Common Stock
TE,"TECO Energy, Inc. Common Stock"
TEF,Telefonica SA Common Stock
TEG,"Integrys Energy Group, Inc. Common Stock"
TEI,"Templeton Emerging Markets Income Fund, Inc. Common Stock"
TEL,TE Connectivity Ltd. New Switzerland Registered Shares
TEN,Tenneco Inc. Common Stock
TEO,Telecom Argentina SA
TEP,"Tallgrass Energy Partners, LP Common Units representing limited partner interests"
TER,"Teradyne, Inc. Common Stock"
TEU,Box Ships Inc. Common Shares
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares
TEX,Terex Corporation Common Stock
TFG,"Fixed Income Trust for Goldman Sachs Subordinated Notes, Series 2011"
TFX,Teleflex Incorporated Common Stock
TG,Tredegar Corporation Common Stock
TGH,Textainer Group Holdings Limited Common Shares
TGI,"Triumph Group, Inc. Common Stock"
TGP,Teekay LNG Partners L.P.
TGS,Transportadora de Gas del Sur SA TGS Common Stock
TGT,Target Corporation Common Stock
THC,Tenet Healthcare Corporation Common Stock
THG,Hanover Insurance Group Inc
THGA,"The Hanover Insurance Group, Inc. 6.35% Subordinated Debentures due 2053"
THO,"Thor Industries, Inc. Common Stock"
THQ,Tekla Healthcare Opportunies Fund Shares of Beneficial Interest
THR,"Thermon Group Holdings, Inc. Common Stock"
THS,"Treehouse Foods, Inc. Common Stock"
TI,Telecom Italia S.P.A. New
TI.A,Telecom Italia S.P.A. New
TIF,Tiffany & Co. Common Stock
TIME,Time Inc. Common Stock
TISI,"Team, Inc. Common Stock"
TJX,"TJX Companies, Inc. (The) Common Stock"
TK,Teekay Corporation Common Stock
TKC,Turkcell Iletisim Hizmetleri AS Common Stock
TKF,"Turkish Investment Fund, Inc. (The) Common Stock"
TKR,Timken Company (The) Common Stock
TLI,LMP Corporate Loan Fund Inc Common Stock
TLK,"PT Telekomunikasi Indonesia, Tbk"
TLLP,Tesoro Logistics LP Common Units representing Limited Partner Interests
TLM,Talisman Energy Inc. Common Stock
TLP,Transmontaigne Partners L.P. Transmontaigne Partners L.P. Common Units representing limited partner interests
TLYS,"Tilly's, Inc. Common Stock"
TM,Toyota Motor Corporation Common Stock
TMH,"Team Health Holdings, Inc. Team Health Holdings, Inc."
TMHC,Taylor Morrison Home Corporation Class A Common Stock
